"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
10.6709993996891,-7.08363609293582,3.91163014232399,-1.8109166345485,0.0701537572208719,0.252553525995139,"ENST00000543133"
3.13070329236719,-5.3138743622394,3.92333014063827,-1.35442957175531,0.175599368443936,0.426687082895907,"ENST00000611738"
0,NA,NA,NA,NA,NA,"ENST00000616863"
27.0083659549485,-8.42261066675199,2.9119286072055,-2.89245095017455,0.00382248862807442,0.0286686647105581,"ENST00000618481"
34.1617149431777,-0.0566570997681473,2.23150621937856,-0.0253896221646764,0.979744188754001,0.993378799730697,"ENST00000317582"
11.7465286223012,6.76928767956407,1.77241871087173,3.81923731567623,0.000133864929179038,0.00170677784703273,"ENST00000498133"
0,NA,NA,NA,NA,NA,"ENST00000464649"
8.03088536547933,0.538389579054651,0.916087792581973,0.587705221501983,0.556730170199294,0.794586903362798,"ENST00000493680"
15.1110061333182,2.06438881300529,2.74674456347363,0.751576553734794,0.452305747601552,0.721955527644347,"ENST00000355028"
30.2290390412224,1.31122130608011,1.43509342225782,0.913683587244922,0.360883130633833,0.63685258347147,"ENST00000399777"
0.179500742233317,-1.40394169720703,4.0804728567969,-0.344063481483147,0.730798545692335,NA,"ENST00000479296"
11.6004728563073,-3.60474603296292,1.68788354756703,-2.13566038851373,0.0327071053224503,0.151302143769978,"ENST00000485631"
33.5878432006037,-4.40826289063671,1.22465100657082,-3.59960745304935,0.000318697920379735,0.0035591811546058,"ENST00000317361"
0,NA,NA,NA,NA,NA,"ENST00000615414"
8.86644482903169,-2.00061122895894,3.68276434216828,-0.543236287495131,0.586967125008634,0.81716078367899,"ENST00000399767"
0.591405080405488,2.45790032312224,3.97117980034577,0.618934534998449,0.535959486525523,NA,"ENST00000614949"
10.8011759783625,6.65146732084112,2.89897884935703,2.29441733330216,0.0217665384678291,0.112509472485738,"ENST00000622694"
10.6286263081919,1.81859709127098,3.74335659901702,0.485819890028252,0.62709487082829,0.843830682786508,"ENST00000399774"
8.05501258837806,0.954523476347983,2.00092630213574,0.477040796219805,0.633333071482571,0.846426415593455,"ENST00000399765"
4.56187217879679,0.626649377191703,1.08348414533088,0.578365064124065,0.563017675391022,0.798347584196722,"ENST00000494097"
0,NA,NA,NA,NA,NA,"ENST00000342111"
0,NA,NA,NA,NA,NA,"ENST00000550946"
10.9183534483191,6.67109122921699,1.57696799265713,4.23032760352762,2.33351221883422e-05,0.000375818283664879,"ENST00000551952"
0,NA,NA,NA,NA,NA,"ENST00000611040"
0.294040824120622,1.45128920400883,4.03538118110692,0.359641168671638,0.719115492569526,NA,"ENST00000473439"
0,NA,NA,NA,NA,NA,"ENST00000552886"
0,NA,NA,NA,NA,NA,"ENST00000617586"
0,NA,NA,NA,NA,NA,"ENST00000583102"
1.25172961468485,2.30535880285504,2.09250980120001,1.10171947655058,0.270583646906954,NA,"ENST00000600723"
221.468028626036,-1.73301179191092,0.475766527077102,-3.64256771605555,0.000269931936691318,0.00308205868013221,"ENST00000441493"
24.4466348255423,-3.16384064563914,0.769786042070011,-4.1100259977842,3.95614574280265e-05,0.000599297325394857,"ENST00000476405"
6.34138348651369,-2.89780688251562,1.24364339886919,-2.33009469205602,0.0198011469139109,0.105929212511481,"ENST00000252134"
13.2459542169867,-1.06789970413532,0.669648234778745,-1.59471741829971,0.110775441151818,0.327193870583555,"ENST00000580469"
0.750876823575169,-1.92692605755044,2.29406026352329,-0.839963137930388,0.400929054947024,NA,"ENST00000577821"
0,NA,NA,NA,NA,NA,"ENST00000579997"
3.42518043621184,-2.70213946717814,1.45453894100407,-1.85772920270725,0.0632074793088157,0.2382697990684,"ENST00000584751"
0.653246111601061,2.61531097717066,3.85078300517477,0.679163425634771,0.497034318562878,NA,"ENST00000498573"
0.440480894422562,2.03650562735714,3.99307163116414,0.510009790824469,0.610044602519572,NA,"ENST00000578984"
20.8393033995865,-0.0700731176170876,2.17189667078965,-0.0322635595696229,0.974261869316909,0.991104162270526,"ENST00000400561"
25.6291822170491,-1.06150660049142,0.889568188214309,-1.19328300467023,0.232758556211553,0.495989681063615,"ENST00000495076"
2.64258492761277,-3.24129525889543,2.01532883005496,-1.60832079140506,0.107764939351663,0.323929974868457,"ENST00000578905"
0,NA,NA,NA,NA,NA,"ENST00000414725"
29.7095452487413,-2.39976926301963,2.8941678698505,-0.829174177496345,0.40700585458749,0.671033359395322,"ENST00000383094"
51.6193613962328,-1.56755476677464,0.523104118189081,-2.99664008037504,0.00272972791549365,0.021200424927438,"ENST00000461307"
4.8977795588796,-5.95889609839351,1.94367474762732,-3.06578871062026,0.00217096669542238,0.0175744922962764,"ENST00000585038"
0.146836780372424,0.52007644930125,4.0804728567969,0.127454946412632,0.898580329844348,NA,"ENST00000462645"
0,NA,NA,NA,NA,NA,"ENST00000465886"
0.776835034950837,-3.29829748487687,3.70523819322763,-0.890171512024636,0.373373798897829,NA,"ENST00000498345"
1.79289340988614,-4.50894539245421,3.9354910811079,-1.14571353346451,0.251913702260789,NA,"ENST00000424046"
0,NA,NA,NA,NA,NA,"ENST00000385046"
2.07639159073878,-1.44034263958216,1.34763400289575,-1.06879363127318,0.285162669729008,NA,"ENST00000429618"
6.14125608382169,-0.993324441478456,0.923546549635848,-1.07555427700977,0.282126645479383,0.554351000184388,"ENST00000441167"
0.598988980971492,-2.91475615157258,3.99078497522221,-0.730371636074,0.465163051076895,NA,"ENST00000411920"
0.648495184718719,2.58169742702649,3.9659179788216,0.65097095825305,0.515065234227856,NA,"ENST00000443243"
0.750914223562219,-3.25598980769246,3.71957249315415,-0.875366675521205,0.381374425895208,NA,"ENST00000426483"
4.87512588150687,0.102666415568347,1.05745910403509,0.0970878355263002,0.922656641066679,0.964808941482982,"ENST00000607927"
47.0939922072831,-0.42844698150041,0.571265440884556,-0.749996325415723,0.453256917866532,0.722378212849786,"ENST00000610387"
116.071944670889,0.125883488008901,0.472621505927128,0.266351586692949,0.789968447028635,0.908503837148367,"ENST00000329627"
